,uid,ts,Z,answers
0,Czm61U2MSesirPmrCb,14.789789,0.0,131.107.255.255
1,CDdWwj3UppUPE1Yfi8,14.791408,0.0,fd3e:4f5a:5b81::1
2,CncG4v2P1ZizONWjDj,13.675780,0.0,"tiny71.local,10.0.2.200"
3,CncG4v2P1ZizONWjDj,14.085909,0.0,"tiny71.local,10.0.2.200"
4,CWgQiB40uWkZyG6sHk,16.050873,0.0,"client.v.dropbox.com,108.160.172.204,108.160.172.236"
5,CdAoJ64g2dfmWDIPXa,16.073583,0.0,"client.v.dropbox.com,108.160.172.236,108.160.172.204"
6,CnDwtB2vYlDC7kOkb,16.200152,0.0,"clients.l.google.com,216.58.209.174"
7,CpiuI2srHB3s1t0Kk,16.224058,0.0,"clients.l.google.com,216.58.209.174"
8,CCZmVU1phB9WcTNeO5,16.698888,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
9,CU6vSk2ni4CPawatDh,16.727378,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
10,CunUJg2wM9YxReHKkg,16.904172,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
11,C8jw3y2ptfD6l2Gau2,16.906359,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
12,CncG4v2P1ZizONWjDj,14.336621,0.0,"tiny71.local,10.0.2.200"
13,CncG4v2P1ZizONWjDj,14.587208,0.0,"tiny71.local,10.0.2.200"
14,CipbsO25PkRxqqsiGg,13.501248,0.0,-
15,CipbsO25PkRxqqsiGg,13.597860,0.0,-
16,C6Czp5OtG2I8rxnqc,13.654998,0.0,-
17,C6Czp5OtG2I8rxnqc,13.746107,0.0,-
18,Cuigsl2FpCCGTzMosc,13.945912,1.0,-
19,Cuigsl2FpCCGTzMosc,14.697024,1.0,-
20,Cuigsl2FpCCGTzMosc,15.447968,1.0,-
21,Cuigsl2FpCCGTzMosc,13.795762,1.0,-
22,Cuigsl2FpCCGTzMosc,14.546810,1.0,-
23,Cuigsl2FpCCGTzMosc,15.298278,1.0,-
24,CncG4v2P1ZizONWjDj,14.686901,0.0,"tiny71.local,10.0.2.200"
25,CuVP1Z1vpYUAbH3The,31.102758,0.0,"tools.l.google.com,216.58.208.46"
26,CgkWgo1q11bn3sU0t8,31.127830,0.0,"tools.l.google.com,216.58.208.46"
27,CO9f4n2fDGPxTKVAnf,33.826742,0.0,216.58.214.238
28,CGC1B03XNKz8rUVlG3,33.850891,0.0,216.58.214.238
29,CDKrgl2Vilin1c3Iob,33.923307,0.0,"r3.sn-jxnoxu-2gbe.gvt1.com,195.113.214.206"
30,CyBa3bIfjZLlaEr1c,33.946479,0.0,"r3.sn-jxnoxu-2gbe.gvt1.com,195.113.214.206"
31,CABtw12utn2ba74ju2,38.523530,0.0,"tools.l.google.com,216.58.208.46"
32,CJv6yA13bRlL79rmqe,28.553455,0.0,-
33,CJv6yA13bRlL79rmqe,28.648460,0.0,-
34,Cf3NcU27hJKEK1GTSk,38.545293,0.0,"tools.l.google.com,216.58.208.46"
35,Chls1t2rahDD6WQIsc,31.274101,0.0,-
36,Chls1t2rahDD6WQIsc,31.372157,0.0,-
37,CncG4v2P1ZizONWjDj,17.701631,0.0,"tiny71.local,10.0.2.200"
38,Cd1DUzLEZ9l3cTDXc,35.976404,0.0,-
39,Cd1DUzLEZ9l3cTDXc,36.069091,0.0,-
40,CIInLt3vmUv3kWxErb,47.763756,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.90,195.113.232.75"
41,CzPI5f4drt0uSDr1N3,47.797885,0.0,"crl.www.ms.akadns.net,a1363.dscg.akamai.net,195.113.232.90,195.113.232.75"
42,C3WWCz4mr4DY5eqb1,47.877599,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
43,C3VN7y4WjvEy3KU4Ef,47.879971,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
44,CmhN9ijd9tR1dtiV4,47.969770,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
45,CFO9u31YIf7ftu1VZ4,47.997611,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239"
46,C2gzo3WLfxGAynGh3,48.087754,0.0,"ocsp-ds.ws.symantec.com.edgekey.net,e8218.dscb1.akamaiedge.net,23.42.27.27"
47,C614SC2TnCImfaNASd,48.123566,0.0,"ocsp-ds.ws.symantec.com.edgekey.net,e8218.dscb1.akamaiedge.net,23.42.27.27"
48,CDnstb283i4ACs5xI3,48.203438,0.0,"ocsp-ds.ws.symantec.com.edgekey.net,e8218.dscb1.akamaiedge.net,23.42.27.27"
