,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,trans_depth,method,host,uri,referrer,version,user_agent,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types
0,14.789789,Czm61U2MSesirPmrCb,10.0.2.200,59978.0,8.8.8.8,53.0,udp,55038.0,0.001237,dns.msftncsi.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,131.107.255.255,5.000000,F,,,,,,,,,,,,,,,,,,,,,,,
1,14.791408,CDdWwj3UppUPE1Yfi8,10.0.2.200,53547.0,8.8.8.8,53.0,udp,47023.0,0.000995,dns.msftncsi.com,1,C_INTERNET,28,AAAA,0,NOERROR,F,F,T,T,0.0,fd3e:4f5a:5b81::1,2620.000000,F,,,,,,,,,,,,,,,,,,,,,,,
2,13.675780,CncG4v2P1ZizONWjDj,10.0.2.200,5353.0,224.0.0.251,5353.0,udp,0.0,1.161291,_sleep-proxy._udp.local,32769,qclass-32769,12,PTR,0,NOERROR,T,F,F,F,0.0,"tiny71.local,10.0.2.200","120.000000,120.000000",F,,,,,,,,,,,,,,,,,,,,,,,
3,14.085909,CncG4v2P1ZizONWjDj,10.0.2.200,5353.0,224.0.0.251,5353.0,udp,0.0,1.752675,tiny71.local,32769,qclass-32769,255,*,0,NOERROR,T,F,F,F,0.0,"tiny71.local,10.0.2.200","120.000000,120.000000",F,,,,,,,,,,,,,,,,,,,,,,,
4,16.050873,CWgQiB40uWkZyG6sHk,10.0.2.200,60827.0,8.8.8.8,53.0,udp,31737.0,0.021469,client.dropbox.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"client.v.dropbox.com,108.160.172.204,108.160.172.236","231.000000,42.000000,42.000000",F,,,,,,,,,,,,,,,,,,,,,,,
5,16.073583,CdAoJ64g2dfmWDIPXa,10.0.2.200,60914.0,8.8.8.8,53.0,udp,56695.0,0.001357,client.dropbox.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"client.v.dropbox.com,108.160.172.236,108.160.172.204","160.000000,43.000000,43.000000",F,,,,,,,,,,,,,,,,,,,,,,,
6,16.200152,CnDwtB2vYlDC7kOkb,10.0.2.200,63823.0,8.8.8.8,53.0,udp,31469.0,0.022606,clients2.google.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"clients.l.google.com,216.58.209.174","299.000000,299.000000",F,,,,,,,,,,,,,,,,,,,,,,,
7,16.224058,CpiuI2srHB3s1t0Kk,10.0.2.200,60345.0,8.8.8.8,53.0,udp,61762.0,0.021806,clients2.google.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"clients.l.google.com,216.58.209.174","299.000000,299.000000",F,,,,,,,,,,,,,,,,,,,,,,,
8,16.698888,CCZmVU1phB9WcTNeO5,10.0.2.200,54825.0,8.8.8.8,53.0,udp,8168.0,0.027208,ocsp.godaddy.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239","2608.000000,59.000000",F,,,,,,,,,,,,,,,,,,,,,,,
9,16.727378,CU6vSk2ni4CPawatDh,10.0.2.200,59001.0,8.8.8.8,53.0,udp,14373.0,0.026524,ocsp.godaddy.com,1,C_INTERNET,1,A,0,NOERROR,F,F,T,T,0.0,"ocsp.godaddy.com.akadns.net,188.121.36.239","2613.000000,59.000000",F,,,,,,,,,,,,,,,,,,,,,,,
